Report Submission Source,Multiple Rows per Incident,Report Number,Carrier/Reporter Name,Incident Route,Incident City,Incident State,Date of Incident,Time of Incident,Quantity Released,Unit of Measure,Identification Number,Commodity Long Name,Hazardous Class,Total Hazmat Fatalities,Total Hazmat Hosp Injuries,Total Hazmat NonHosp Injuries,Total Amount of Damages,Shipper Name,Origin City,Origin State,Mode of Transportation,Identification Markings,Cont1 Material of Construction,Cont1 Packaging Type,Cont1 Package Capacity,Cont1 Package Capacity UOM,Cont1 Pkg Number in Shipment,Cont1 Pkg Shipment Nbr Failed,Cont2 Material of Construction,Cont2 Package Type,Cont2 Package Capacity,Cont2 Capacity UOM Reported,Cont2 Pkg Number in Shipment,Cont2 Pkg Shipment Nbr Failed,What Failed Description,How Failed Description,Failure Cause Description,Description of Events,HMIS Serious Incident Ind,HMIS Serious Bulk Release,HMIS Serious Evacuations,HMIS Serious Fatality,HMIS Serious Flight Plan,HMIS Serious Injury,HMIS Serious Major Artery,HMIS Serious Marine Pollutant,HMIS Serious Radioactive
Web,No,E-2006090119,UPS GROUND FREIGHT  INC.,,WASHINGTON,DC,08/17/2006,1545,0.007812,LGA,UN3107,ORGANIC PEROXIDE TYPE E  LIQUID,ORGANIC PEROXIDE,0,0,0,0,STERIS CORP,COLUMBUS,OHIO,Highway,,Paper  multi-wall,Box,0,,,,,,,,,,Basic Material,Crushed,Inadequate Blocking and Bracing,CONTAINER WAS CRUSHED IN TRANSIT  CAUSING INTERNAL CRUSHING OF BOXES.,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110205,STEUART PETROLEUM CO,,WASHINGTON,DC,12/02/1982,,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1995071316,GRIFFITH ENERGY SERVICES  INC.,WISCOSIN AVE,WASHINGTON,DC,06/23/1995,1410,6,LGA,NA1993,FUEL OIL,COMBUSTIBLE LIQUID,0,0,0,106,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,3400,LGA,1,1,,,,,,,,,,DRIVER WAS FILLING TANK WITH THE HELP OF THE BUILDING ENGINEER. THE BUILDING ENGINEER FAILED TO INFORM DRIVER TASK WAS FULL. 6 GALLONS OF OIL SPILLED AND CLEANED UP.,No,No,No,No,No,No,No,No,No
Paper,Yes,I-1975010691,TRI-STATE MOTOR TRANSIT CO,,WASHINGTON,DC,01/22/1975,,0,,UN2982,RADIOACTIVE MATERIAL  N.O.S.,RADIOACTIVE MATERIAL,0,0,0,0,HITTMAN NUCLEAR & DEV CORP,COLUMBIA,MARYLAND,Highway,,,,55,LGA,82,,,,,,,,,,Vehicular Crash or Accident Damage,,No,No,No,No,No,No,No,No,No
Paper,No,I-1980041520,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,04/04/1980,,1,LGA,NA1142,COMPOUND  LACQUER  PAINT  OR VARNISH  REMOVING  REDUCING  OR THINNING  LIQUID,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,MORRIS PAINT & VARNISH COMPANY,EAST ST LOUIS,ILLINOIS,Highway,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,Yes,I-2003121362,EASTERN ISOTOPES INC,3509 M STREET - KEY BRIDGE,WASHINGTON,DC,11/10/2003,0630,0.01,CI,UN2915,RADIOACTIVE MATERIAL  TYPE A PACKAGE NON-SPECIAL FORM  NON FISSILE OR FISSILE-EXCEPTED,RADIOACTIVE MATERIAL,0,0,0,500,EASTERN ISOTOPES  INC.,STERLING,VIRGINIA,Highway,,,,0.01,CI,1,1,,,,,,,Closure (e.g.  Cap  Top  or Plug); Weld or Seam,Crushed; ,Improper Preparation for Transportation; Inadequate Blocking and Bracing,(A) CAN A F-18 DISLODGED FROM TRUNK OF CAR ON KEY BRIDGE.  CAN A F-18 BIT BY TRAFFIC  COLLAPSING AMMO CAN AND SHATTERING SYRINGE.  CAN A - F-18 CONTAMINATION ON BRIDGE CURB.   (B) CAN B TC99M DISLODGED FROM TRUNK OF CAR AFTER TURNING ONTO M STRET GEORGETOWN.  CAN B TC99M LID POPPED OFF AND WHILE PIGGS CAME OUT.  ONE PIG BROKEN BY TRAFFIC - SYRINGE SHATTERED.  CAN B TC99M CONTAMINATION ON M STREET CURB 3509 M STREET. JK RECOVERED SHATTERED PLASTIC SYRINGE/PIGGS ON BRIDGE AND M STREET.  BRIDGE RESIDUAL AT BACKGROUND WAS MEASURED.  M STREET RESIDUE AT 5000 CPMS.,No,No,No,No,No,No,No,No,No
Paper,No,I-1977040970,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,04/19/1977,,0,,UN1903,DISINFECTANTS  LIQUID  CORROSIVE N.O.S.,CORROSIVE MATERIAL,0,0,0,0,DU BOIS CHEMICAL CO,LANDOVER,MARYLAND,Highway,,,,,,6,1,,,,,6,1,,,Dropped,,No,No,No,No,No,No,No,No,No
Paper,No,I-1998081312,MISSOURI INVESTMENTS LLC,,WASHINGTON,DC,07/13/1998,1230,20,LGA,UN1832,SULFURIC ACID  SPENT,CORROSIVE MATERIAL,0,0,0,0,BETHLEHEM STEEL CORPORATION,SPARROWS POINT,MARYLAND,Highway,,,,,,1,1,,,,,,,,,,WHILE UNLOADING A RUBBER LINED TRAILER VIA AIR PRESSURE  THE RUBBER LINING DEVELOPED A PIN HOLE RESULTING IN SMALL RELEASE OF PRODUCT. THE DECISION WAS MADE TO COMPLETE THE UNLOAD SINCE SUCH A SMALL AMOUNT WAS LEAKING. THIS WAS DONE UNDER THE SUPERVISION OF A&A ENVIRONMENTAL  WHO PERFORMED THE CLEAN UP AFTER THE LOAD WAS COMPLETELY OFF LOADED. TRAILER WAS BROUGHT TO LOCAL SHOP FOR REPAIRS. NO INJURIES WERE REPORTED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110186,STEUART PETROLEUM,,WASHINGTON,DC,01/25/1983,,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-2003040043,GRIFFITH ENERGY SERVICES  INC.,1900 FENWICK ST NE,WASHINGTON,DC,03/20/2003,1300,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,105,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4200,LGA,1,1,,,,,,,,,,TANK WAS OVERFILLED  CAUSING A SMALL OUTAGE THAT WAS CONTAINED  CLEANED UP AND PROPERLY DISPOSED OF.,No,No,No,No,No,No,No,No,No
Paper,No,I-1990100394,FEDEX GROUND PACKAGE SYSTEM  INC.,WALTER REED ARMY MEDICAL CTR,WASHINGTON,DC,09/11/1990,1330,0.031250,LGA,UN1805,PHOSPHORIC ACID SOLUTION,CORROSIVE MATERIAL,0,0,0,125,TTI LOGISTICS INC,BENSALEM,PENNSYLVANIA,Highway,,,,4.226752,LGA,1,1,,,1.056688,LGA,4,1,Closure (e.g.  Cap  Top  or Plug); Basic Material,; ,Loose Closure  Component  or Device; Water Damage,PACKAGE WAS UNLOADED WITH LEAKAGE NOTED ON THE BOX.  EXAMINATION OF THE INNER CONTAINER REVEALED THAT ONE OF THE PLASTIC BOTTLES HAD A LOOSE CAP AND CONTENTS PARTIALLY LEAKED.  CARTON WAS WET BUT OTHERWISE UNDAMAGED. CAP WAS TIGHTENED AND PACKAGE WAS REPACKED FOR THE RETURN TO THE SHIPPER.,No,No,No,No,No,No,No,No,No
Paper,No,I-2007091029,CARROLL INDEPENDENT FUEL  LLC,2144 QUEENS CHAPEL RD NE #46,WASHINGTON,DC,09/04/2007,1700,5,LGA,NA1993,FUEL OIL (NO. 1  2  4  5  OR 6),FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,CARROLL INDEPENDENT FUEL  LLC,BALTIMORE,MARYLAND,Highway,NO MARKINGS GIVEN,,,,,,,,,,,,,Hose,Leaked,Human Error,THERE WAS A RELEASE OF 5-7 GALLONS OF ULTRA LOW SULPHUR DIESEL FROM A DISPENSING PUMP. THE SPILL WAS CONTAINED AND CLEANED  THERE WAS NO ENTRY INTO STORM DRAINS. THE DELIVERY DRIVER PULLED OFF WITH THE NOZZLE STILL ATTACHED TO THE SADDLE TANK.,No,No,No,No,No,No,No,No,No
Paper,No,I-1990120665,GRIFFITH ENERGY SERVICES  INC.,1220 HOLBROCK TERRACE NE,WASHINGTON,DC,11/23/1990,1500,75,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,175,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4500,LGA,1,1,,,,,,,Auxiliary Valve; Piping or Fittings,; ,Loose Closure  Component  or Device; Water Damage,DOME LID AND/OR TANK VENT DID NOT PROPERLY CONTAIN LIQUID WHEN VEHICLE WAS PARKED ON AN INCLINE.  DOME LID WAS REPAIRED TO PREVENT INCIDENT FROM REOCCURRING.,No,No,No,No,No,No,No,No,No
Paper,No,I-1993040314,STEUART INVESTMENT COMPANY INC,NORTH CAROLINA & E STREETS  SE,WASHINGTON,DC,02/04/1993,1610,10,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,5466,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,#2 OIL IN STORM CATCH BASIN AT SITE.  APPROXIMATELY 10 GAL. OF #2 FUEL OIL DID NOT LEAVE CATCH BASIN.  VENT LINE WAS DISCHARGING AIR - NEEDS NEW 4  FILL CAP & BOX.  DRIVER DID NOT GET ALL DELIVERY TICKET INSTRUCTIONS.,No,No,No,No,No,No,No,No,No
Paper,No,I-2004090713,GRIFFITH ENERGY SERVICES  INC.,901 D ST SW,WASHINGTON,DC,08/09/2004,1500,75,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,2700,LGA,1,1,,,,,,,,,,WHILE MAKING DELIVERY TO COMMERCIAL PROPERTY ONSITE ENGINEER INSTRUCTED OUR DRIVER TO FILL TANK THAT HAD BROKEN GAUGE AND SPILL OCCURRED.  CUSTOMER ASSUMED RESPONSIBILITY FOR SPILL AND CONTACTED PROFESSIONAL REMEDIATION COMPANY WHO PROPERLY CLEANED  CONTAINED AND DISPOSED OF SPILL.,No,No,No,No,No,No,No,No,No
Paper,No,I-1994120779,GRIFFITH ENERGY SERVICES  INC.,2501 Q ST NW,WASHINGTON,DC,12/12/1994,,5,LGA,NA1993,FUEL OIL,COMBUSTIBLE LIQUID,0,0,0,253,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4500,LGA,1,1,,,,,,,,,,DRIVER WAS MAKING A DELIVERY AND HE OVERFILLED THE TANK. THREE TO FIVE GALLONS OF OIL WAS ON GROUND AROUND FILL. OIL AND DIRT WERE REMOVED AND THE SOIL WAS REPLACED TANK SIZE WRONG ON TICKET TO BE CORRECTED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1997030004,GRIFFITH ENERGY SERVICES  INC.,2244 10TH STREET NW,WASHINGTON,DC,02/11/1997,1340,10,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,210,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,4500,LGA,1,1,,,,,,,,,,THE DRIVER HAD GAUGED TANK AND STARTED TO MAKE DELIVERIES.  THE TANK WAS REPORTED TO BE A 64  DIAMETER TANK. THE DRIVER'S CALCULATION SHOWED IT WOULD HOLD 1500 GALLONS.  AT 50  AND 1086 GALLONS GOING INTO THE TANK  OIL CAME OUT OF THE VENT PIPE.  THE FLOW OF OIL WAS STOPPED AND THE OIL CLEANED UP.,No,No,No,No,No,No,No,No,No
Paper,No,I-1975100970,MC LEAN TRUCKING COMPANY,,WASHINGTON,DC,10/14/1975,,0,,UN2553,NAPHTHA,COMBUSTIBLE LIQUID,0,0,0,0,CELLOFILM CORP,ARGO,ILLINOIS,Highway,,,,5,LGA,171,1,,,,,,,,Punctured,,,No,No,No,No,No,No,No,No,No
Paper,No,I-2003061136,QUALITY CARRIERS  INC.,,WASHINGTON,DC,06/20/2003,1745,2,LGA,NA2693,SODIUM HYDROGEN SULFITE  SOLUTION,CORROSIVE MATERIAL,0,0,0,0,GENERAL CHEMICAL CORPORATION,CLAYMONT,DELAWARE,Highway,,,,4032,LGA,1,1,,,,,,,,,,PRESSURE IN HOSE CAUSED 2 GALLON SPILL FROM FITTING AT TRACTOR.  SPILL CONTAINED AND CLEANED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1978100268,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,09/15/1978,,0,,UN2794,BATTERIES  WET  FILLED WITH ACID  ELECTRIC STORAGE,CORROSIVE MATERIAL,0,0,0,0,CHLORIDE INC,NORTH HAVEN,CONNECTICUT,Highway,,,,,,6,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1984080023,GRACE W R & CO,,WASHINGTON,DC,07/25/1984,,0.0310,LGA,UN1760,CORROSIVE LIQUIDS  N.O.S.,CORROSIVE MATERIAL,0,0,0,0,DU BOIS CHEMICAL CO,EAST RUTHERFORD,NEW JERSEY,Highway,,,,4,LGA,3,1,,,1,LGA,12,1,; ,; ,Loose Closure  Component  or Device; Inadequate Blocking and Bracing,,No,No,No,No,No,No,No,No,No
Paper,No,I-1985030206,NEW YORK AIR,,WASHINGTON,DC,03/06/1985,,0.0560,LGA,UN1263,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,INDIVIDUAL - NOT A COMPANY,,,Air,,,,0.56,LGA,1,1,,,0.0560,LGA,10,8,,Burst or Ruptured,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110198,STEUART FETROLEUM,,WASHINGTON,DC,12/23/1982,,500,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No
Paper,No,I-1976060890,PRESTON TRUCKING COMPANY  INC.,,WASHINGTON,DC,05/13/1976,,0,,UN1789,HYDROCHLORIC ACID  SOLUTION,CORROSIVE MATERIAL,0,0,1,0,ABCO INC,IRWIN,PENNSYLVANIA,Highway,,,,,,1,1,,,,,12,1,,,Improper Preparation for Transportation,,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110204,STEUART PETROLEUM CO,,WASHINGTON,DC,11/18/1982,,30,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1983110153,STEWART PETROLEUM,,WASHINGTON,DC,07/26/1983,,5,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEWART PETROLEUM,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,Auxiliary Valve; Piping or Fittings,; ,Loose Closure  Component  or Device; ,,No,No,No,No,No,No,No,No,No
Paper,No,I-1979070213,NATIONAL FREIGHT INC,,WASHINGTON,DC,05/08/1979,,1,LGA,UN1987,ALCOHOLS  N.O.S.,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,U S GOVT - VA,SOMERVILLE,NEW JERSEY,Highway,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1974090273,POLLARD DELIVERY SERVICE INC,,WASHINGTON,DC,08/29/1974,,0,,UN1977,NITROGEN  REFRIGERATED LIQUID (CRYOGENIC LIQUID),NONFLAMMABLE COMPRESSED GAS,0,0,0,0,DU PONT E I DE NEMOURS & CO,UNKNOWN,DELAWARE,Highway,,,,55,SLB,1,1,,,,,,,,Punctured,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1988070117,ROADWAY EXPRESS  INC.,,WASHINGTON,DC,06/23/1988,,0.63,LGA,UN1830,SULFURIC ACID,CORROSIVE MATERIAL,0,0,0,0,FISHER SCIENTIFIC INTERNATIONAL INC.,NORCROSS,GEORGIA,Highway,,,,3.75,LGA,4,1,,,0.63,LGA,24,1,,,Dropped,,No,No,No,No,No,No,No,No,No
Web,No,E-2006020070,GRIFFITH ENERGY SERVICES  INC.,1425 New York Ave,WASHINGTON,DC,02/02/2006,1130,50,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,10100,GRIFFITH ENERGY SERVICES  INC.,HYATTSVILLE,MARYLAND,Highway,,Metal,IBC,275,LGA,1,1,,,,,,,Body,Leaked,Deterioration or Aging,We made delivery to location and due to improper filling instructions over fill occurred. When over fill occurred oil was captured in dike that had a hole in it causing oil to go down drain. We immediatly dispatched professional remediation company and oil spill properly cleaned  contained and disposed of.,Yes,No,Yes,No,No,No,No,No,No
Paper,No,I-1980110485,MC LEAN TRUCKING COMPANY,,WASHINGTON,DC,10/25/1980,,42,LGA,UN1263,PAINT RELATED MATERIAL INCLUDING PAINT THINNING  DRYING  REMOVING  OR REDUCING COMPOUND,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,JONES-BLAIR COMPANY  LLC,DALLAS,TEXAS,Highway,,,,5,LGA,40,9,,,,,,,,,Vehicular Crash or Accident Damage,,No,No,No,No,No,No,No,No,No
Paper,No,I-1984010111,STEUART PETROLEUM CO,,WASHINGTON,DC,12/20/1983,,0,,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,0,STEUART INVESTMENT COMPANY INC,WASHINGTON,DISTRICT OF COLUMBIA,Highway,,,,,,1,1,,,,,,,,,,,No,No,No,No,No,No,No,No,No
Paper,No,I-1977010530,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,12/28/1976,,0,,UN1993,FLAMMABLE LIQUIDS  N.O.S.,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,MINNESOTA MINING & MFG CO,SPRINGFIELD,MISSOURI,Highway,,,,5,LGA,15,1,,,,,,,,,Inadequate Blocking and Bracing,,No,No,No,No,No,No,No,No,No
Paper,No,I-1991080438,GRIFFITH ENERGY SERVICES  INC.,3537 NEW HAMPSHIRE AVE NW,WASHINGTON,DC,07/23/1991,1150,23,LGA,NA1993,FUEL OIL  NO. 1  2  4  5  OR 6,COMBUSTIBLE LIQUID,0,0,0,2520,GRIFFITH ENERGY SERVICES  INC.,CHEVERLY,MARYLAND,Highway,,,,,,1,1,,,,,,,,,,DRIVER DELIVERED TO INCORRECT ADDRESS.  DRIVER HOOKED DELIVERY HOSE UP TO FILL PIPE THAT HAD BEEN DISCONNECTED BY HOME OWNER FROM AN INSIDE TANK. DRIVER HAD NO WAY OF KNOWING THAT PIPE WAS DISCONNECTED UNTIL DELIVERY BEGAN AND HE HEARD NO VENT.  CUSTOMER ADVISED TO HAVE PIPE REMOVED.,No,No,No,No,No,No,No,No,No
Paper,No,I-1986080156,YELLOW FREIGHT SYSTEM INC,,WASHINGTON,DC,06/16/1986,,4,LGA,NA1993,COMPOUNDS  CLEANING LIQUID,FLAMMABLE - COMBUSTIBLE LIQUID,0,0,0,0,HANDSCHY CHEMICAL CO,CHICAGO,ILLINOIS,Highway,,,,4,LGA,30,6,,,1,LGA,120,7,,,,,No,No,No,No,No,No,No,No,No
